MatrixSize,PartitionRow,MinTime,MaxTime,AvgTime,AvgBcastTime,AvgMatmulTime,AvgReduceTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock
3686400,122880,    16.916,    16.917,    16.917,     1.682,    11.589,     3.633,100,900,     2.441,300000
3686400,122880,    17.709,    17.711,    17.710,     1.639,    12.375,     3.690,100,900,     2.686,330000
3686400,122880,    18.007,    18.008,    18.007,     1.510,    12.123,     4.341,100,900,     2.604,320000
3686400,122880,    12.102,    12.103,    12.103,     1.697,     7.570,     2.830,100,900,     1.261,155000
3686400,122880,    16.563,    16.564,    16.563,     1.508,    10.625,     4.422,100,900,     2.075,255000
3686400,122880,    17.315,    17.316,    17.315,     1.418,    11.516,     4.348,100,900,     2.360,290000
3686400,122880,    17.530,    17.530,    17.530,     1.603,    11.807,     4.116,100,900,     2.523,310000
3686400,122880,    17.378,    17.379,    17.379,     1.553,    11.140,     4.667,100,900,     2.279,280000
3686400,122880,    19.029,    19.030,    19.029,     1.537,    13.017,     4.429,100,900,     2.848,350000
3686400,60000,     7.124,     7.125,     7.125,     1.015,     3.112,     2.992,100,900,     2.048,122880
3686400,70000,     7.919,     7.920,     7.919,     1.090,     3.739,     3.085,100,900,     1.755,122880
3686400,80000,     8.539,     8.540,     8.539,     1.237,     4.308,     2.988,100,900,     1.536,122880
3686400,90000,     9.167,     9.169,     9.168,     1.437,     5.072,     2.646,100,900,     1.365,122880
3686400,50000,     6.031,     6.033,     6.032,     0.889,     2.371,     2.765,100,900,     2.458,122880
3686400,122880,     8.860,     8.862,     8.861,     1.629,     4.544,     2.668,100,900,     0.658,80880
3686400,122880,     9.964,     9.965,     9.965,     1.527,     5.437,     2.985,100,900,     0.821,100880
3686400,122880,    10.889,    10.890,    10.889,     1.650,     6.573,     2.653,100,900,     1.000,122880
3686400,278187,    23.348,    23.348,    23.348,     2.887,    16.238,     4.205,100,900,     0.892,248256
3686400,541334,    45.931,    45.933,    45.932,     4.809,    33.256,     7.834,100,900,     0.887,479984
3686400,1850,     0.239,     0.240,     0.240,     0.107,     0.016,     0.113,100,900,     0.423,782
3686400,14471,     1.561,     1.561,     1.561,     0.535,     0.473,     0.548,100,900,     2.463,35637
3686400,33334,     2.082,     2.083,     2.082,     0.655,     0.296,     1.128,100,900,     0.133,4440
3686400,40903,     2.413,     2.414,     2.414,     0.805,     0.472,     1.132,100,900,     0.200,8169
3686400,52850,     2.865,     2.866,     2.865,     0.924,     0.529,     1.407,100,900,     0.128,6750
3686400,68784,     3.631,     3.632,     3.631,     1.147,     0.948,     1.528,100,900,     0.209,14405
3686400,50269,     4.647,     4.648,     4.647,     0.945,     1.551,     2.141,100,900,     1.131,56849
3686400,126643,     5.797,     5.799,     5.798,     1.728,     1.984,     2.074,100,900,     0.199,25262
3686400,123761,     5.775,     5.777,     5.776,     1.704,     1.941,     2.116,100,900,     0.199,24685
3686400,540486,    17.072,    17.074,    17.072,     4.744,     4.893,     7.404,100,900,     0.063,33879
3686400,933120,    80.155,    80.156,    80.155,     8.718,    59.636,    11.750,100,900,     0.889,829420
3686400,617350,    56.051,    56.051,    56.051,     6.540,    41.016,     8.430,100,900,     0.942,581749
3686400,1697068,    51.198,    51.199,    51.198,    18.656,    16.719,    15.726,100,900,     0.071,120121
3686400,1697068,    45.657,    45.658,    45.657,    16.122,    10.455,    18.986,100,900,     0.017,28248
3686400,398359,    13.227,    13.228,    13.227,     3.627,     3.822,     5.747,100,900,     0.071,28248
3686400,171829,    11.566,    11.568,    11.567,     2.120,     6.580,     2.855,100,900,     0.608,104494
3686400,138793,     6.335,     6.336,     6.335,     1.856,     2.415,     2.052,100,900,     0.200,27751
3686400,116726,     5.453,     5.459,     5.457,     1.614,     1.804,     2.027,100,900,     0.200,23337
