Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,AvgCommunication,AvgInterProcessCall,SizeOfData,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
input/nlpkkt160,8345600,67159,    15.368,    15.376,    15.373,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/nlpkkt160,8345600,67159,    10.513,    10.521,    10.517,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/nlpkkt160,8345600,67159,    10.514,    10.522,    10.518,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/nlpkkt160,8345600,67159,    10.512,    10.520,    10.516,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/nlpkkt160,8345600,67159,    10.499,    10.507,    10.503,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/nlpkkt160,8345600,67159,    10.490,    10.499,    10.494,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/nlpkkt160,8345600,67159,    10.519,    10.528,    10.524,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/nlpkkt160,8345600,67159,    10.504,    10.512,    10.508,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/nlpkkt160,8345600,67159,    10.894,    10.903,    10.899,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/nlpkkt160,8345600,67159,    10.491,    10.498,    10.495,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/nlpkkt160,8345600,67159,    10.521,    10.529,    10.525,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/nlpkkt160,8345600,67159,    10.493,    10.500,    10.496,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/nlpkkt160,8345600,67159,    10.494,    10.502,    10.498,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/ecology1,1000000,7850,     0.253,     0.258,     0.255,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/G3,1585478,12697,     0.431,     0.433,     0.432,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/kkt,2063494,16605,     1.158,     1.166,     1.163,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/cage15,5154859,41482,     9.546,     9.567,     9.557,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/kkt,2063494,16605,     1.044,     1.052,     1.049,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/NLR,4163763,33402,     2.345,     2.348,     2.346,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/asia,11950757,95360,     4.353,     4.356,     4.355,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/coPapersDBLP,540486,4349,     2.637,     2.651,     2.646,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/nlpkkt160,8345600,67159,    10.496,    10.504,    10.501,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/coPapersCiteseer,434102,3493,     4.853,     4.863,     4.859,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/ecology1,1000000,7850,     0.252,     0.256,     0.254,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/G3,1585478,12697,     0.435,     0.437,     0.436,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/asia,11950757,95360,     4.346,     4.350,     4.348,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/NLR,4163763,33402,     2.324,     2.327,     2.325,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/coPapersDBLP,540486,4349,     2.661,     2.670,     2.665,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/kkt,2063494,16605,     1.107,     1.117,     1.113,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/cage15,5154859,41482,     9.547,     9.568,     9.558,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/G3,1585478,12697,     0.434,     0.437,     0.436,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/NLR,4163763,33402,     2.314,     2.316,     2.315,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
