Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,AvgCommunication,AvgInterProcessCall,SizeOfData,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
input/nlpkkt160,8345600,67159,    15.322,    15.331,    15.326,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/cage15,5154859,41482,     9.519,     9.540,     9.530,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/nlpkkt240,27993600,225271,    35.431,    35.440,    35.436,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/G3,1585478,12697,     0.420,     0.423,     0.422,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/kkt,2063494,16605,     1.038,     1.046,     1.043,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/ecology1,1000000,7850,     0.251,     0.262,     0.256,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/uk-2002,18520486,149039,    56.475,    56.511,    56.495,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/asia,11950757,95360,     4.381,     4.385,     4.383,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/NLR,4163763,33402,     2.730,     2.733,     2.732,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/coPapersDBLP,540486,4349,     2.648,     2.657,     2.652,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/coPapersCiteseer,434102,3493,     4.864,     4.870,     4.868,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
