MatrixSize,AvgTime,TotalRun,Threads,NonZeroPerRow,NonZeroElements,AffinityType
1200000000,  3878.632,50,272,1,1200000000,balanced
1300000000,  4198.432,50,272,1,1300000000,balanced
1400000000,  4519.385,50,272,1,1400000000,balanced
30000,     0.286,50,272,100,3000000,balanced
40000,     0.440,50,272,100,4000000,balanced
20000,     0.260,50,272,100,2000000,balanced
10000,     0.212,50,272,100,1000000,balanced
1000,     0.130,50,272,100,100000,balanced
5000,     0.176,50,272,100,500000,balanced
60000,     0.877,50,272,100,6000000,balanced
70000,     1.125,50,272,100,7000000,balanced
80000,     1.336,50,272,100,8000000,balanced
90000,     1.751,50,272,100,9000000,balanced
100000,     1.828,50,272,100,10000000,balanced
110000,     2.218,50,272,100,11000000,balanced
120000,     2.313,50,272,100,12000000,balanced
130000,     2.727,50,272,100,13000000,balanced
140000,     3.119,50,272,100,14000000,balanced
50000,     0.572,50,272,100,5000000,balanced
150000,     3.179,50,272,100,15000000,balanced
160000,     3.593,50,272,100,16000000,balanced
170000,     3.804,50,272,100,17000000,balanced
180000,     4.155,50,272,100,18000000,balanced
200000,     4.299,50,272,100,20000000,balanced
225000,     5.219,50,272,100,22500000,balanced
250000,     6.160,50,272,100,25000000,balanced
275000,     7.233,50,272,100,27500000,balanced
190000,   108.278,50,272,100,19000000,balanced
300000,   110.896,50,272,100,30000000,balanced
400000,    12.507,50,272,100,40000000,balanced
500000,    16.489,50,272,100,50000000,balanced
600000,    21.286,50,272,100,60000000,balanced
700000,    24.683,50,272,100,70000000,balanced
800000,    28.685,50,272,100,80000000,balanced
10000,     0.061,50,272,1,10000,balanced
1000,     0.051,50,272,1,1000,balanced
20000,     0.072,50,272,1,20000,balanced
5000,     0.054,50,272,1,5000,balanced
30000,     0.082,50,272,1,30000,balanced
40000,     0.095,50,272,1,40000,balanced
50000,     0.106,50,272,1,50000,balanced
60000,     0.118,50,272,1,60000,balanced
70000,     0.198,50,272,1,70000,balanced
100000,     0.244,50,272,1,100000,balanced
120000,     0.182,50,272,1,120000,balanced
150000,     0.214,50,272,1,150000,balanced
130000,     0.188,50,272,1,130000,balanced
170000,     0.231,50,272,1,170000,balanced
90000,     4.039,50,272,1,90000,balanced
140000,     0.203,50,272,1,140000,balanced
110000,     0.223,50,272,1,110000,balanced
80000,     9.708,50,272,1,80000,balanced
160000,     0.222,50,272,1,160000,balanced
190000,     0.252,50,272,1,190000,balanced
200000,     0.277,50,272,1,200000,balanced
180000,     0.243,50,272,1,180000,balanced
225000,     0.294,50,272,1,225000,balanced
300000,     0.380,50,272,1,300000,balanced
275000,     0.355,50,272,1,275000,balanced
250000,     0.321,50,272,1,250000,balanced
400000,     0.492,50,272,1,400000,balanced
600000,     0.704,50,272,1,600000,balanced
500000,     0.608,50,272,1,500000,balanced
800000,     0.919,50,272,1,800000,balanced
700000,     0.824,50,272,1,700000,balanced
1000000,    36.694,50,272,100,100000000,balanced
2000000,    75.741,50,272,100,200000000,balanced
130000000,   304.515,50,272,1,130000000,balanced
45000000,   418.060,50,272,5,225000000,balanced
3000000,   114.950,50,272,100,300000000,balanced
4000000,   143.421,50,272,100,400000000,balanced
5000000,   172.549,50,272,100,500000000,balanced
6000000,   197.754,50,272,100,600000000,balanced
90000000,   878.486,50,272,5,450000000,balanced
7000000,   231.030,50,272,100,700000000,balanced
8000000,   260.429,50,272,100,800000000,balanced
300000000,   309.961,50,272,0,0,balanced
9000000,   282.424,50,272,100,900000000,balanced
50000000,  1185.060,50,272,15,750000000,balanced
10000000,   322.129,50,272,100,1000000000,balanced
600000000,   625.361,50,272,0,0,balanced
95000000,  1864.421,50,272,10,950000000,balanced
55000000,  1194.775,50,272,22,1210000000,balanced
15000000,   494.678,50,272,100,1500000000,balanced
140000000,  2403.272,50,272,8,1120000000,balanced
60000000,  1071.499,50,272,29,1740000000,balanced
180000000,  2043.308,50,272,5,900000000,balanced
20000000,   699.766,50,272,100,2000000000,balanced
100000000,  2523.476,50,272,15,1500000000,balanced
225000000,  2701.445,50,272,5,1125000000,balanced
190000000,  4359.054,50,272,10,1900000000,balanced
400000000,  4436.935,50,272,4,1600000000,balanced
700000000,  4296.389,50,272,2,1400000000,balanced
275000000,  4834.921,50,272,7,1925000000,balanced
1000000,    64.289,50,1,1,1000000,balanced
2000000,   130.694,50,1,1,2000000,balanced
3000000,   197.715,50,1,1,3000000,balanced
4000000,   272.541,50,1,1,4000000,balanced
5000000,   343.733,50,1,1,5000000,balanced
6000000,   431.109,50,1,1,6000000,balanced
7000000,   458.512,50,1,1,7000000,balanced
8000000,   599.283,50,1,1,8000000,balanced
9000000,   673.028,50,1,1,9000000,balanced
