Name,MatrixSize,AvgRow,MinTime,MaxTime,AvgTime,AvgBcastTime,AvgMatmulTime,AvgReduceTime,TotalRun,nProcess,NonZeroPerRow,AvgNonZeroPerBlock,MaxNonZeroPerBlock
nlpkkt160_random_961,8345600,269213,25.486787,28.639464,27.376773,3.303894,22.064983,2.063230,100,961,0.860820,230148.000000,231744
nlpkkt240_random_961,27993600,903020,90.877561,102.457063,94.959181,8.620124,83.601785,5.583121,100,961,0.863784,776772.000000,780014
cage15_random_961,5154859,166286,12.153610,13.690183,13.215245,2.231434,9.779780,1.553954,100,961,0.593435,97861.000000,98680
G3_circuit_random_961,1585478,51145,2.089707,3.117436,2.675123,1.031947,0.702981,1.237560,100,961,0.128185,6321.000000,6556
kkt_power_random_961,2063494,66565,2.910504,3.922070,3.486577,1.199384,1.411792,1.254966,100,961,0.209645,13490.000000,13955
ecology1_random_961,1000000,32259,1.182659,2.162029,1.807997,0.600863,0.308092,1.016665,100,961,0.134350,4158.000000,4334
uk,18520486,597436,49.463344,58.587590,53.051019,5.539103,43.228550,4.594829,100,961,0.948671,544822.000000,566770
asia_random_961,11950757,385509,11.914944,14.247323,13.354205,5.026244,6.181969,2.445883,100,961,0.069695,26454.000000,26868
NLR_random_961,4163763,134315,5.925019,7.007543,6.620925,1.904897,3.776310,1.199166,100,961,0.197297,25989.000000,26500
coPapersCiteseer_random_961,434102,14004,1.235741,1.615052,1.411027,0.502980,0.725506,0.322454,100,961,2.507712,33375.000000,35118
coPapersDBLP_random_961,540486,17436,1.573058,2.114494,1.802942,0.550102,0.821705,0.458602,100,961,1.875660,31728.000000,32704
copter2_random_961,55476,1790,0.135806,0.153282,0.142807,0.065581,0.029015,0.049862,100,961,0.460335,733.000000,824
333SP_random_961,3712815,119769,5.273457,6.306079,5.929494,1.633773,3.243145,1.353134,100,961,0.197079,23118.000000,23604
af_shell10_random_961,1508065,48648,3.216149,4.646490,3.859243,0.933208,2.012461,1.386735,100,961,1.115770,53240.000000,54280
AS365_random_961,3799275,122558,5.388936,6.756253,6.093041,1.725623,3.320955,1.340109,100,961,0.196250,23658.000000,24052
europe_random_961,50912018,1642324,45.687518,53.151337,49.856770,17.847243,25.862033,8.005407,100,961,0.069111,112496.000000,113502
M6_random_961,3501776,112961,4.999853,6.155351,5.636403,1.570094,2.995837,1.371067,100,961,0.197263,21856.000000,22283
thermal2_random_961,1227087,39584,1.615642,2.519367,2.203895,0.787602,0.564086,1.135682,100,961,0.200409,7650.000000,7933
nlpkkt200_random_961,16240000,523871,52.244794,60.424111,55.903922,4.835434,46.582895,4.942576,100,961,0.862426,449516.000000,451800
nlpkkt160_random_784,8345600,298058,29.934635,34.121269,32.008403,3.628525,27.418448,2.830655,100,784,0.951657,282107.000000,283649
nlpkkt240_random_784,27993600,999772,106.333068,136.892994,112.364431,8.507775,96.285977,5.516604,100,784,0.954674,952141.000000,954456
cage15_random_784,5154859,184103,14.276509,16.879110,15.452626,2.286708,11.999183,1.294123,100,784,0.659071,119954.000000,121337
G3_circuit_random_784,1585478,56625,2.265756,3.181573,2.795667,0.983763,0.843840,1.306153,100,784,0.141422,7749.000000,8008
kkt_power_random_784,2063494,73697,3.274965,4.460741,3.826641,1.123519,1.663383,1.355338,100,784,0.230688,16536.000000,17001
ecology1_random_784,1000000,35715,1.313008,2.119661,1.840076,0.639448,0.421583,0.995532,100,784,0.148733,5096.000000,5312
uk,18520486,661446,56.849008,71.387772,61.918941,5.458571,56.155136,3.993254,100,784,1.046305,667824.000000,692074
asia_random_784,11950757,426813,12.792068,16.022565,14.616848,5.029165,7.289296,2.410982,100,784,0.077378,32427.000000,33026
NLR_random_784,4163763,148706,6.747834,8.016808,7.462713,1.804669,4.460856,1.475676,100,784,0.218471,31857.000000,32488
coPapersDBLP_random_784,540486,19304,1.761707,2.255606,2.022733,0.529088,0.964690,0.569983,100,784,2.097804,38892.000000,40496
coPapersCiteseer_random_784,434102,15504,1.362495,1.776308,1.559288,0.513538,0.869043,0.332566,100,784,2.752193,40910.000000,42670
copter2_random_784,55476,1982,0.141590,0.153520,0.145665,0.064667,0.034610,0.045535,100,784,0.517659,898.000000,1026
333SP_random_784,3712815,132601,6.041085,7.583213,6.711932,1.823766,4.004102,1.134658,100,784,0.216914,28338.000000,28763
af_shell10_random_784,1508065,53860,3.832570,5.182027,4.464220,1.011374,2.610282,1.457700,100,784,1.224675,65260.000000,65961
AS365_random_784,3799275,135689,6.180673,7.612675,6.821697,1.837926,4.064206,1.183068,100,784,0.218809,29000.000000,29690
europe_random_784,50912018,1818287,51.191023,59.030902,55.257954,17.623305,30.998803,6.916428,100,784,0.076586,137894.000000,139256
M6_random_784,3501776,125064,5.707461,6.672450,6.302603,1.696432,3.668888,1.203500,100,784,0.217944,26790.000000,27257
thermal2_random_784,1227087,43825,1.870734,2.894391,2.463949,0.786520,0.706200,1.254327,100,784,0.219875,9377.000000,9636
nlpkkt200_random_784,16240000,580000,60.042198,65.163889,63.318756,4.800601,54.828937,4.256488,100,784,0.954266,551002.000000,553474
