Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,AvgCommunication,AvgInterProcessCall,SizeOfData,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
input/nlpkkt160,8345600,67159,     4.643,     4.650,     4.646,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/nlpkkt240,27993600,225271,    15.931,    15.945,    15.940,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/cage15,5154859,41482,     9.469,     9.491,     9.481,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/G3,1585478,12697,     0.342,     0.344,     0.343,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/ecology1,1000000,7850,     0.223,     0.225,     0.224,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/kkt,2063494,16605,     1.602,     1.613,     1.609,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/asia,11950757,95360,     0.487,     0.489,     0.488,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/coPapersDBLP,540486,4349,     5.054,     5.064,     5.058,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/NLR,4163763,33402,     0.773,     0.775,     0.774,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/coPapersCiteseer,434102,3493,     3.184,     3.190,     3.188,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/uk-2002,18520486,149039,    15.234,    15.264,    15.248,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/cage15,5154859,41482,     9.438,     9.459,     9.449,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/nlpkkt160,8345600,67159,     4.655,     4.662,     4.659,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/G3,1585478,12697,     0.339,     0.346,     0.343,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/kkt,2063494,16605,     1.629,     1.636,     1.633,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
